Key,LEA Code,School_Code,school name,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,,,,,,,
463-2013-14-Limited English Proficiency-In-Seat Attendance Rate-External,1,463,Wilson HS,2013-14,Limited English Proficiency,In-Seat Attendance Rate,81,80,External,21,,,,,,,
463-2013-14-Male-In-Seat Attendance Rate-External,1,463,Wilson HS,2013-14,Male,In-Seat Attendance Rate,81,79,External,1039,,,,,,,
463-2013-14-Multiracial-In-Seat Attendance Rate-External,1,463,Wilson HS,2013-14,Multiracial,In-Seat Attendance Rate,85,86,External,68,,,,,,,
463-2013-14-Special Education-In-Seat Attendance Rate-External,1,463,Wilson HS,2013-14,Special Education,In-Seat Attendance Rate,73,76,External,218,,,,,,,
463-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,463,Wilson HS,2013-14,White non-Hispanic,In-Seat Attendance Rate,87,87,External,452,,,,,,,
464-2013-14-All Students-In-Seat Attendance Rate-External,1,464,Woodson H D HS,2013-14,All Students,In-Seat Attendance Rate,65,79,External,1095,,,,,,,
464-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,464,Woodson H D HS,2013-14,Black non-Hispanic,In-Seat Attendance Rate,65,78,External,1088,,,,,,,
464-2013-14-Female-In-Seat Attendance Rate-External,1,464,Woodson H D HS,2013-14,Female,In-Seat Attendance Rate,64,79,External,467,,,,,,,
464-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,464,Woodson H D HS,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,65,77,External,948,,,,,,,
464-2013-14-Male-In-Seat Attendance Rate-External,1,464,Woodson H D HS,2013-14,Male,In-Seat Attendance Rate,65,79,External,628,,,,,,,
464-2013-14-Special Education-In-Seat Attendance Rate-External,1,464,Woodson H D HS,2013-14,Special Education,In-Seat Attendance Rate,64,76,External,285,,,,,,,
465-2013-14-All Students-In-Seat Attendance Rate-External,1,465,Tuition Grant DCPS Non Public,2013-14,All Students,In-Seat Attendance Rate,87,,External,1257,,,,,,,
465-2013-14-Asian-In-Seat Attendance Rate-External,1,465,Tuition Grant DCPS Non Public,2013-14,Asian,In-Seat Attendance Rate,93,,External,12,,,,,,,
465-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,465,Tuition Grant DCPS Non Public,2013-14,Black non-Hispanic,In-Seat Attendance Rate,86,,External,1072,,,,,,,
465-2013-14-Female-In-Seat Attendance Rate-External,1,465,Tuition Grant DCPS Non Public,2013-14,Female,In-Seat Attendance Rate,86,,External,350,,,,,,,
465-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,465,Tuition Grant DCPS Non Public,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,85,,External,54,,,,,,,
465-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,465,Tuition Grant DCPS Non Public,2013-14,Hispanic / Latino,In-Seat Attendance Rate,90,,External,43,,,,,,,
465-2013-14-Male-In-Seat Attendance Rate-External,1,465,Tuition Grant DCPS Non Public,2013-14,Male,In-Seat Attendance Rate,87,,External,907,,,,,,,
465-2013-14-Special Education-In-Seat Attendance Rate-External,1,465,Tuition Grant DCPS Non Public,2013-14,Special Education,In-Seat Attendance Rate,87,,External,1122,,,,,,,
465-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,465,Tuition Grant DCPS Non Public,2013-14,White non-Hispanic,In-Seat Attendance Rate,93,,External,126,,,,,,,
466-2013-14-All Students-In-Seat Attendance Rate-External,1,466,School Without Walls HS,2013-14,All Students,In-Seat Attendance Rate,87,79,External,593,,,,,,,
466-2013-14-Asian-In-Seat Attendance Rate-External,1,466,School Without Walls HS,2013-14,Asian,In-Seat Attendance Rate,90,85,External,30,,,,,,,
466-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,466,School Without Walls HS,2013-14,Black non-Hispanic,In-Seat Attendance Rate,88,78,External,253,,,,,,,
466-2013-14-Female-In-Seat Attendance Rate-External,1,466,School Without Walls HS,2013-14,Female,In-Seat Attendance Rate,87,79,External,353,,,,,,,
466-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,466,School Without Walls HS,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,88,77,External,119,,,,,,,
466-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,466,School Without Walls HS,2013-14,Hispanic / Latino,In-Seat Attendance Rate,88,79,External,60,,,,,,,
466-2013-14-Male-In-Seat Attendance Rate-External,1,466,School Without Walls HS,2013-14,Male,In-Seat Attendance Rate,88,79,External,240,,,,,,,
466-2013-14-Multiracial-In-Seat Attendance Rate-External,1,466,School Without Walls HS,2013-14,Multiracial,In-Seat Attendance Rate,87,86,External,39,,,,,,,
466-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,466,School Without Walls HS,2013-14,White non-Hispanic,In-Seat Attendance Rate,87,87,External,210,,,,,,,
467-2013-14-All Students-In-Seat Attendance Rate-External,1,467,Dunbar HS,2013-14,All Students,In-Seat Attendance Rate,66,79,External,930,,,,,,,
467-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,467,Dunbar HS,2013-14,Black non-Hispanic,In-Seat Attendance Rate,65,78,External,904,,,,,,,
467-2013-14-Female-In-Seat Attendance Rate-External,1,467,Dunbar HS,2013-14,Female,In-Seat Attendance Rate,67,79,External,431,,,,,,,
467-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,467,Dunbar HS,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,66,77,External,789,,,,,,,
467-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,467,Dunbar HS,2013-14,Hispanic / Latino,In-Seat Attendance Rate,66,79,External,23,,,,,,,
467-2013-14-Male-In-Seat Attendance Rate-External,1,467,Dunbar HS,2013-14,Male,In-Seat Attendance Rate,64,79,External,499,,,,,,,
467-2013-14-Special Education-In-Seat Attendance Rate-External,1,467,Dunbar HS,2013-14,Special Education,In-Seat Attendance Rate,59,76,External,246,,,,,,,
471-2013-14-All Students-In-Seat Attendance Rate-External,1,471,Ellington School of the Arts,2013-14,All Students,In-Seat Attendance Rate,87,80,External,551,,,,,,,
471-2013-14-Asian-In-Seat Attendance Rate-External,1,471,Ellington School of the Arts,2013-14,Asian,In-Seat Attendance Rate,87,88,External,15,,,,,,,
471-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,471,Ellington School of the Arts,2013-14,Black non-Hispanic,In-Seat Attendance Rate,87,79,External,419,,,,,,,
471-2013-14-Female-In-Seat Attendance Rate-External,1,471,Ellington School of the Arts,2013-14,Female,In-Seat Attendance Rate,87,81,External,378,,,,,,,
471-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,471,Ellington School of the Arts,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,86,78,External,221,,,,,,,
471-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,471,Ellington School of the Arts,2013-14,Hispanic / Latino,In-Seat Attendance Rate,85,83,External,54,,,,,,,
471-2013-14-Male-In-Seat Attendance Rate-External,1,471,Ellington School of the Arts,2013-14,Male,In-Seat Attendance Rate,86,80,External,173,,,,,,,
471-2013-14-Multiracial-In-Seat Attendance Rate-External,1,471,Ellington School of the Arts,2013-14,Multiracial,In-Seat Attendance Rate,88,87,External,11,,,,,,,
471-2013-14-Special Education-In-Seat Attendance Rate-External,1,471,Ellington School of the Arts,2013-14,Special Education,In-Seat Attendance Rate,86,75,External,29,,,,,,,
471-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,471,Ellington School of the Arts,2013-14,White non-Hispanic,In-Seat Attendance Rate,87,88,External,52,,,,,,,
472-2013-14-All Students-In-Seat Attendance Rate-External,1,472,Residential Schools,2013-14,All Students,In-Seat Attendance Rate,100,,External,245,,,,,,,
472-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,472,Residential Schools,2013-14,Black non-Hispanic,In-Seat Attendance Rate,100,,External,226,,,,,,,
472-2013-14-Female-In-Seat Attendance Rate-External,1,472,Residential Schools,2013-14,Female,In-Seat Attendance Rate,100,,External,70,,,,,,,
472-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,472,Residential Schools,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,100,,External,40,,,,,,,
472-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,472,Residential Schools,2013-14,Hispanic / Latino,In-Seat Attendance Rate,100,,External,13,,,,,,,
472-2013-14-Male-In-Seat Attendance Rate-External,1,472,Residential Schools,2013-14,Male,In-Seat Attendance Rate,100,,External,175,,,,,,,
472-2013-14-Special Education-In-Seat Attendance Rate-External,1,472,Residential Schools,2013-14,Special Education,In-Seat Attendance Rate,100,,External,169,,,,,,,
474-2013-14-All Students-In-Seat Attendance Rate-External,1,474,Washington Metropolitan HS (formerly YEA),2013-14,All Students,In-Seat Attendance Rate,52,80,External,412,,,,,,,
474-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,474,Washington Metropolitan HS (formerly YEA),2013-14,Black non-Hispanic,In-Seat Attendance Rate,52,79,External,396,,,,,,,
474-2013-14-Female-In-Seat Attendance Rate-External,1,474,Washington Metropolitan HS (formerly YEA),2013-14,Female,In-Seat Attendance Rate,48,81,External,193,,,,,,,
474-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,474,Washington Metropolitan HS (formerly YEA),2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,52,78,External,345,,,,,,,
474-2013-14-Male-In-Seat Attendance Rate-External,1,474,Washington Metropolitan HS (formerly YEA),2013-14,Male,In-Seat Attendance Rate,56,80,External,219,,,,,,,
474-2013-14-Special Education-In-Seat Attendance Rate-External,1,474,Washington Metropolitan HS (formerly YEA),2013-14,Special Education,In-Seat Attendance Rate,51,75,External,66,,,,,,,
478-2013-14-All Students-In-Seat Attendance Rate-External,1,478,Phelps Architecture Construction and Engineering HS,2013-14,All Students,In-Seat Attendance Rate,87,80,External,366,,,,,,,
478-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,478,Phelps Architecture Construction and Engineering HS,2013-14,Black non-Hispanic,In-Seat Attendance Rate,87,79,External,342,,,,,,,
478-2013-14-Female-In-Seat Attendance Rate-External,1,478,Phelps Architecture Construction and Engineering HS,2013-14,Female,In-Seat Attendance Rate,86,81,External,136,,,,,,,
478-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,478,Phelps Architecture Construction and Engineering HS,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,86,78,External,258,,,,,,,
478-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,478,Phelps Architecture Construction and Engineering HS,2013-14,Hispanic / Latino,In-Seat Attendance Rate,86,83,External,17,,,,,,,
478-2013-14-Male-In-Seat Attendance Rate-External,1,478,Phelps Architecture Construction and Engineering HS,2013-14,Male,In-Seat Attendance Rate,87,80,External,230,,,,,,,
478-2013-14-Special Education-In-Seat Attendance Rate-External,1,478,Phelps Architecture Construction and Engineering HS,2013-14,Special Education,In-Seat Attendance Rate,85,75,External,45,,,,,,,
861-2013-14-All Students-In-Seat Attendance Rate-External,1,861,Youth Services Center,2013-14,All Students,In-Seat Attendance Rate,96,85,External,897,,,,,,,
861-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,861,Youth Services Center,2013-14,Black non-Hispanic,In-Seat Attendance Rate,96,84,External,857,,,,,,,
861-2013-14-Female-In-Seat Attendance Rate-External,1,861,Youth Services Center,2013-14,Female,In-Seat Attendance Rate,97,86,External,233,,,,,,,
861-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,861,Youth Services Center,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,96,84,External,531,,,,,,,
861-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,861,Youth Services Center,2013-14,Hispanic / Latino,In-Seat Attendance Rate,96,88,External,31,,,,,,,
861-2013-14-Male-In-Seat Attendance Rate-External,1,861,Youth Services Center,2013-14,Male,In-Seat Attendance Rate,95,85,External,661,,,,,,,
861-2013-14-Special Education-In-Seat Attendance Rate-External,1,861,Youth Services Center,2013-14,Special Education,In-Seat Attendance Rate,95,81,External,303,,,,,,,
884-2013-14-All Students-In-Seat Attendance Rate-External,1,884,Luke Moore Alternative HS,2013-14,All Students,In-Seat Attendance Rate,48,80,External,554,,,,,,,
884-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,884,Luke Moore Alternative HS,2013-14,Black non-Hispanic,In-Seat Attendance Rate,48,79,External,528,,,,,,,
884-2013-14-Female-In-Seat Attendance Rate-External,1,884,Luke Moore Alternative HS,2013-14,Female,In-Seat Attendance Rate,47,81,External,312,,,,,,,
884-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,884,Luke Moore Alternative HS,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,47,78,External,453,,,,,,,
884-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,884,Luke Moore Alternative HS,2013-14,Hispanic / Latino,In-Seat Attendance Rate,50,83,External,20,,,,,,,
884-2013-14-Male-In-Seat Attendance Rate-External,1,884,Luke Moore Alternative HS,2013-14,Male,In-Seat Attendance Rate,48,80,External,242,,,,,,,
884-2013-14-Special Education-In-Seat Attendance Rate-External,1,884,Luke Moore Alternative HS,2013-14,Special Education,In-Seat Attendance Rate,44,75,External,36,,,,,,,
943-2013-14-All Students-In-Seat Attendance Rate-External,1,943,#N/A,2013-14,All Students,In-Seat Attendance Rate,96,93,External,215,,,,,,,
943-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,943,#N/A,2013-14,Black non-Hispanic,In-Seat Attendance Rate,92,92,External,42,,,,,,,
943-2013-14-Female-In-Seat Attendance Rate-External,1,943,#N/A,2013-14,Female,In-Seat Attendance Rate,95,93,External,107,,,,,,,
943-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,943,#N/A,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,90,92,External,26,,,,,,,
943-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,943,#N/A,2013-14,Hispanic / Latino,In-Seat Attendance Rate,96,94,External,12,,,,,,,
943-2013-14-Male-In-Seat Attendance Rate-External,1,943,#N/A,2013-14,Male,In-Seat Attendance Rate,96,93,External,108,,,,,,,
943-2013-14-Multiracial-In-Seat Attendance Rate-External,1,943,#N/A,2013-14,Multiracial,In-Seat Attendance Rate,97,95,External,13,,,,,,,
943-2013-14-Special Education-In-Seat Attendance Rate-External,1,943,#N/A,2013-14,Special Education,In-Seat Attendance Rate,91,92,External,28,,,,,,,
943-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,943,#N/A,2013-14,White non-Hispanic,In-Seat Attendance Rate,96,96,External,143,,,,,,,
947-2013-14-All Students-In-Seat Attendance Rate-External,1,947,CHOICE Academy at Emery,2013-14,All Students,In-Seat Attendance Rate,63,,External,213,,,,,,,
947-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,947,CHOICE Academy at Emery,2013-14,Black non-Hispanic,In-Seat Attendance Rate,63,,External,204,,,,,,,
947-2013-14-Female-In-Seat Attendance Rate-External,1,947,CHOICE Academy at Emery,2013-14,Female,In-Seat Attendance Rate,62,,External,88,,,,,,,
947-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,947,CHOICE Academy at Emery,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,63,,External,203,,,,,,,
947-2013-14-Male-In-Seat Attendance Rate-External,1,947,CHOICE Academy at Emery,2013-14,Male,In-Seat Attendance Rate,64,,External,125,,,,,,,
947-2013-14-Special Education-In-Seat Attendance Rate-External,1,947,CHOICE Academy at Emery,2013-14,Special Education,In-Seat Attendance Rate,73,,External,38,,,,,,,
948-2013-14-All Students-In-Seat Attendance Rate-External,1,948,LaShawn - DCPS Non Public,2013-14,All Students,In-Seat Attendance Rate,100,,External,79,,,,,,,
948-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,948,LaShawn - DCPS Non Public,2013-14,Black non-Hispanic,In-Seat Attendance Rate,100,,External,77,,,,,,,
948-2013-14-Female-In-Seat Attendance Rate-External,1,948,LaShawn - DCPS Non Public,2013-14,Female,In-Seat Attendance Rate,100,,External,33,,,,,,,
948-2013-14-Male-In-Seat Attendance Rate-External,1,948,LaShawn - DCPS Non Public,2013-14,Male,In-Seat Attendance Rate,100,,External,46,,,,,,,
948-2013-14-Special Education-In-Seat Attendance Rate-External,1,948,LaShawn - DCPS Non Public,2013-14,Special Education,In-Seat Attendance Rate,100,,External,21,,,,,,,
950-2013-14-All Students-In-Seat Attendance Rate-External,1,950,Correctional Detention,2013-14,All Students,In-Seat Attendance Rate,99,80,External,95,,,,,,,
950-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,950,Correctional Detention,2013-14,Black non-Hispanic,In-Seat Attendance Rate,99,79,External,91,,,,,,,
950-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,950,Correctional Detention,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,98,78,External,29,,,,,,,
950-2013-14-Male-In-Seat Attendance Rate-External,1,950,Correctional Detention,2013-14,Male,In-Seat Attendance Rate,99,79,External,94,,,,,,,
950-2013-14-Special Education-In-Seat Attendance Rate-External,1,950,Correctional Detention,2013-14,Special Education,In-Seat Attendance Rate,99,75,External,32,,,,,,,
217-2013-14-All Students-Expulsions-External,155,217,Achievement Preparatory Academy PCS – Elementary,2013-14,All Students,Expulsions,0,6,External,233,,,,,,,
217-2013-14-All Students-Expulsion Rate-External,155,217,Achievement Preparatory Academy PCS – Elementary,2013-14,All Students,Expulsion Rate,0,0.02,External,233,,,,,,,
1100-2013-14-All Students-Expulsion Rate-External,155,1100,Achievement Preparatory Academy PCS – Middle,2013-14,All Students,Expulsion Rate,0.52,0.2,External,381,,,,,,,
1100-2013-14-All Students-Expulsions-External,155,1100,Achievement Preparatory Academy PCS – Middle,2013-14,All Students,Expulsions,2,46,External,381,,,,,,,
3072-2013-14-All Students-Expulsion Rate-External,103,3072,AppleTree Early Learning PCS –  SouthEast,2013-14,All Students,Expulsion Rate,0,0,External,172,,,,,,,
3072-2013-14-All Students-Expulsions-External,103,3072,AppleTree Early Learning PCS –  SouthEast,2013-14,All Students,Expulsions,0,0,External,172,,,,,,,
141-2013-14-All Students-Expulsion Rate-External,103,141,AppleTree Early Learning PCS –  SouthWest,2013-14,All Students,Expulsion Rate,0,0,External,79,,,,,,,
141-2013-14-All Students-Expulsions-External,103,141,AppleTree Early Learning PCS –  SouthWest,2013-14,All Students,Expulsions,0,0,External,79,,,,,,,
140-2013-14-All Students-Expulsion Rate-External,103,140,AppleTree Early Learning PCS – Columbia Heights,2013-14,All Students,Expulsion Rate,0,0,External,161,,,,,,,
140-2013-14-All Students-Expulsions-External,103,140,AppleTree Early Learning PCS – Columbia Heights,2013-14,All Students,Expulsions,0,0,External,161,,,,,,,
3073-2013-14-All Students-Expulsion Rate-External,103,3073,AppleTree Early Learning PCS – Lincoln Park,2013-14,All Students,Expulsion Rate,0,0,External,63,,,,,,,
3073-2013-14-All Students-Expulsions-External,103,3073,AppleTree Early Learning PCS – Lincoln Park,2013-14,All Students,Expulsions,0,0,External,63,,,,,,,
1137-2013-14-All Students-Expulsion Rate-External,103,1137,AppleTree Early Learning PCS – Oklahoma Ave,2013-14,All Students,Expulsion Rate,0,0,External,172,,,,,,,
1137-2013-14-All Students-Expulsions-External,103,1137,AppleTree Early Learning PCS – Oklahoma Ave,2013-14,All Students,Expulsions,0,0,External,172,,,,,,,
181-2013-14-All Students-Expulsion Rate-External,104,181,Arts and Technology Academy PCS,2013-14,All Students,Expulsion Rate,0,0.02,External,618,,,,,,,
181-2013-14-All Students-Expulsions-External,104,181,Arts and Technology Academy PCS,2013-14,All Students,Expulsions,0,10,External,618,,,,,,,
3068-2013-14-All Students-Expulsion Rate-External,168,3068,BASIS DC PCS,2013-14,All Students,Expulsion Rate,0,0.32,External,510,,,,,,,
3068-2013-14-All Students-Expulsions-External,168,3068,BASIS DC PCS,2013-14,All Students,Expulsions,0,77,External,510,,,,,,,
151-2013-14-All Students-Expulsions-External,106,151,Booker T. Washington PCS,2013-14,All Students,Expulsions,4,81,External,522,,,,,,,
151-2013-14-All Students-Expulsion Rate-External,106,151,Booker T. Washington PCS,2013-14,All Students,Expulsion Rate,0.77,0.36,External,522,,,,,,,
142-2013-14-All Students-Expulsions-External,107,142,Bridges PCS,2013-14,All Students,Expulsions,0,2,External,211,,,,,,,
142-2013-14-All Students-Expulsion Rate-External,107,142,Bridges PCS,2013-14,All Students,Expulsion Rate,0,0.01,External,211,,,,,,,
126-2013-14-All Students-Expulsion Rate-External,119,126,Briya PCS ,2013-14,All Students,Expulsion Rate,0,0.02,External,478,,,,,,,
126-2013-14-All Students-Expulsions-External,119,126,Briya PCS ,2013-14,All Students,Expulsions,0,3,External,478,,,,,,,
1207-2013-14-All Students-Expulsions-External,108,1207,Capital City PCS – High School,2013-14,All Students,Expulsions,5,78,External,337,,,,,,,
1207-2013-14-All Students-Expulsion Rate-External,108,1207,Capital City PCS – High School,2013-14,All Students,Expulsion Rate,1.48,0.45,External,337,,,,,,,
184-2013-14-All Students-Expulsion Rate-External,108,184,Capital City PCS – Lower School,2013-14,All Students,Expulsion Rate,0,0.02,External,321,,,,,,,
184-2013-14-All Students-Expulsions-External,108,184,Capital City PCS – Lower School,2013-14,All Students,Expulsions,0,9,External,321,,,,,,,
182-2013-14-All Students-Expulsions-External,108,182,Capital City PCS – Middle School,2013-14,All Students,Expulsions,0,43,External,326,,,,,,,
182-2013-14-All Students-Expulsion Rate-External,108,182,Capital City PCS – Middle School,2013-14,All Students,Expulsion Rate,0,0.24,External,326,,,,,,,
1119-2013-14-All Students-Expulsion Rate-External,162,1119,Carlos Rosario International PCS ,2013-14,All Students,Expulsion Rate,0,0.06,External,1982,,,,,,,
1119-2013-14-All Students-Expulsions-External,162,1119,Carlos Rosario International PCS ,2013-14,All Students,Expulsions,0,3,External,1982,,,,,,,
188-2013-14-All Students-Expulsion Rate-External,123,188,Cedar Tree Academy PCS  ,2013-14,All Students,Expulsion Rate,0,0,External,322,,,,,,,
188-2013-14-All Students-Expulsions-External,123,188,Cedar Tree Academy PCS  ,2013-14,All Students,Expulsions,0,0,External,322,,,,,,,
1103-2013-14-All Students-Expulsion Rate-External,156,1103,Center City PCS – Brightwood,2013-14,All Students,Expulsion Rate,0,0.09,External,251,,,,,,,
1103-2013-14-All Students-Expulsions-External,156,1103,Center City PCS – Brightwood,2013-14,All Students,Expulsions,0,52,External,251,,,,,,,
1104-2013-14-All Students-Expulsion Rate-External,156,1104,Center City PCS – Capitol Hill,2013-14,All Students,Expulsion Rate,0,0.09,External,237,,,,,,,
1104-2013-14-All Students-Expulsions-External,156,1104,Center City PCS – Capitol Hill,2013-14,All Students,Expulsions,0,52,External,237,,,,,,,
1105-2013-14-All Students-Expulsion Rate-External,156,1105,Center City PCS – Congress Heights,2013-14,All Students,Expulsion Rate,0,0.09,External,227,,,,,,,
1105-2013-14-All Students-Expulsions-External,156,1105,Center City PCS – Congress Heights,2013-14,All Students,Expulsions,0,52,External,227,,,,,,,
1106-2013-14-All Students-Expulsion Rate-External,156,1106,Center City PCS – Petworth,2013-14,All Students,Expulsion Rate,0.84,0.09,External,237,,,,,,,
1106-2013-14-All Students-Expulsions-External,156,1106,Center City PCS – Petworth,2013-14,All Students,Expulsions,2,52,External,237,,,,,,,
1107-2013-14-All Students-Expulsion Rate-External,156,1107,Center City PCS – Shaw,2013-14,All Students,Expulsion Rate,0.84,0.09,External,239,,,,,,,
1107-2013-14-All Students-Expulsions-External,156,1107,Center City PCS – Shaw,2013-14,All Students,Expulsions,2,52,External,239,,,,,,,
1108-2013-14-All Students-Expulsion Rate-External,156,1108,Center City PCS – Trinidad,2013-14,All Students,Expulsion Rate,0.88,0.09,External,226,,,,,,,
1108-2013-14-All Students-Expulsions-External,156,1108,Center City PCS – Trinidad,2013-14,All Students,Expulsions,2,52,External,226,,,,,,,
153-2013-14-All Students-Expulsion Rate-External,109,153,César Chávez PCS for Public Policy – Capitol Hill,2013-14,All Students,Expulsion Rate,1.54,0.45,External,389,,,,,,,
153-2013-14-All Students-Expulsions-External,109,153,César Chávez PCS for Public Policy – Capitol Hill,2013-14,All Students,Expulsions,6,78,External,389,,,,,,,
127-2013-14-All Students-Expulsions-External,109,127,César Chávez PCS for Public Policy – Chávez Prep,2013-14,All Students,Expulsions,1,76,External,322,,,,,,,
127-2013-14-All Students-Expulsion Rate-External,109,127,César Chávez PCS for Public Policy – Chávez Prep,2013-14,All Students,Expulsion Rate,0.31,0.39,External,322,,,,,,,
109-2013-14-All Students-Expulsions-External,109,109,César Chávez PCS for Public Policy – Parkside High School,2013-14,All Students,Expulsions,4,78,External,373,,,,,,,
109-2013-14-All Students-Expulsion Rate-External,109,109,César Chávez PCS for Public Policy – Parkside High School,2013-14,All Students,Expulsion Rate,1.07,0.45,External,373,,,,,,,
102-2013-14-All Students-Expulsions-External,109,102,César Chávez PCS for Public Policy – Parkside Middle School,2013-14,All Students,Expulsions,6,42,External,305,,,,,,,
102-2013-14-All Students-Expulsion Rate-External,109,102,César Chávez PCS for Public Policy – Parkside Middle School,2013-14,All Students,Expulsion Rate,1.97,0.31,External,305,,,,,,,
105-2013-14-All Students-Expulsion Rate-External,113,105,Community Academy PCS – Amos 1,2013-14,All Students,Expulsion Rate,0,0.02,External,596,,,,,,,
105-2013-14-All Students-Expulsions-External,113,105,Community Academy PCS – Amos 1,2013-14,All Students,Expulsions,0,10,External,596,,,,,,,
158-2013-14-All Students-Expulsions-External,113,158,Community Academy PCS – Amos 2,2013-14,All Students,Expulsions,0,0,External,288,,,,,,,
158-2013-14-All Students-Expulsion Rate-External,113,158,Community Academy PCS – Amos 2,2013-14,All Students,Expulsion Rate,0,0,External,288,,,,,,,
1109-2013-14-All Students-Expulsions-External,113,1109,Community Academy PCS – Amos 3,2013-14,All Students,Expulsions,0,10,External,309,,,,,,,
1109-2013-14-All Students-Expulsion Rate-External,113,1109,Community Academy PCS – Amos 3,2013-14,All Students,Expulsion Rate,0,0.02,External,309,,,,,,,
106-2013-14-All Students-Expulsion Rate-External,113,106,Community Academy PCS – Butler Global,2013-14,All Students,Expulsion Rate,0,0.02,External,264,,,,,,,
106-2013-14-All Students-Expulsions-External,113,106,Community Academy PCS – Butler Global,2013-14,All Students,Expulsions,0,10,External,264,,,,,,,
108-2013-14-All Students-Expulsions-External,113,108,Community Academy PCS – CAPCS Online,2013-14,All Students,Expulsions,0,52,External,147,,,,,,,
108-2013-14-All Students-Expulsion Rate-External,113,108,Community Academy PCS – CAPCS Online,2013-14,All Students,Expulsion Rate,0,0.11,External,147,,,,,,,
216-2013-14-All Students-Expulsions-External,176,216,Community College Preparatory Academy PCS,2013-14,All Students,Expulsions,0,3,External,167,,,,,,,
216-2013-14-All Students-Expulsion Rate-External,176,216,Community College Preparatory Academy PCS,2013-14,All Students,Expulsion Rate,0,0.06,External,167,,,,,,,
3069-2013-14-All Students-Expulsions-External,169,3069,Creative Minds International PCS,2013-14,All Students,Expulsions,0,6,External,137,,,,,,,
3069-2013-14-All Students-Expulsion Rate-External,169,3069,Creative Minds International PCS,2013-14,All Students,Expulsion Rate,0,0.02,External,137,,,,,,,
199-2013-14-All Students-Expulsion Rate-External,114,199,DC Bilingual PCS,2013-14,All Students,Expulsion Rate,0,0.04,External,385,,,,,,,
199-2013-14-All Students-Expulsions-External,114,199,DC Bilingual PCS,2013-14,All Students,Expulsions,0,18,External,385,,,,,,,
